state,city,holc_grade,count_tracts,perc_tracts,state.name,fullname,pop20
CA,Oakland,A,12,0.1,California,"Oakland, California",422575
CA,Oakland,B,46,0.39,California,"Oakland, California",422575
CA,Oakland,C,41,0.34,California,"Oakland, California",422575
CA,Oakland,D,20,0.17,California,"Oakland, California",422575
PA,Lancaster,A,10,0.3,Pennsylvania,"Lancaster, Pennsylvania",59321
PA,Lancaster,B,20,0.61,Pennsylvania,"Lancaster, Pennsylvania",59321
PA,Lancaster,C,1,0.03,Pennsylvania,"Lancaster, Pennsylvania",59321
PA,Lancaster,D,2,0.06,Pennsylvania,"Lancaster, Pennsylvania",59321
GA,Macon,A,2,0.05,Georgia,"Macon, Georgia",153026
GA,Macon,B,6,0.15,Georgia,"Macon, Georgia",153026
GA,Macon,C,16,0.4,Georgia,"Macon, Georgia",153026
GA,Macon,D,16,0.4,Georgia,"Macon, Georgia",153026
CA,Fresno,A,2,0.08,California,"Fresno, California",526147
CA,Fresno,B,5,0.21,California,"Fresno, California",526147
CA,Fresno,C,9,0.38,California,"Fresno, California",526147
CA,Fresno,D,8,0.33,California,"Fresno, California",526147
PA,Erie,A,4,0.09,Pennsylvania,"Erie, Pennsylvania",96616
PA,Erie,B,17,0.36,Pennsylvania,"Erie, Pennsylvania",96616
PA,Erie,C,19,0.4,Pennsylvania,"Erie, Pennsylvania",96616
PA,Erie,D,7,0.15,Pennsylvania,"Erie, Pennsylvania",96616
PA,York,A,4,0.15,Pennsylvania,"York, Pennsylvania",44019
PA,York,B,7,0.26,Pennsylvania,"York, Pennsylvania",44019
PA,York,C,9,0.33,Pennsylvania,"York, Pennsylvania",44019
PA,York,D,7,0.26,Pennsylvania,"York, Pennsylvania",44019
PA,Johnstown,B,6,0.17,Pennsylvania,"Johnstown, Pennsylvania",19381
PA,Johnstown,C,15,0.43,Pennsylvania,"Johnstown, Pennsylvania",19381
PA,Johnstown,D,14,0.4,Pennsylvania,"Johnstown, Pennsylvania",19381
KY,Louisville,A,8,0.15,Kentucky,"Louisville, Kentucky",618733
KY,Louisville,B,16,0.3,Kentucky,"Louisville, Kentucky",618733
KY,Louisville,C,17,0.31,Kentucky,"Louisville, Kentucky",618733
KY,Louisville,D,13,0.24,Kentucky,"Louisville, Kentucky",618733
WI,Madison,A,5,0.13,Wisconsin,"Madison, Wisconsin",258366
WI,Madison,B,9,0.23,Wisconsin,"Madison, Wisconsin",258366
WI,Madison,C,15,0.38,Wisconsin,"Madison, Wisconsin",258366
WI,Madison,D,10,0.26,Wisconsin,"Madison, Wisconsin",258366
NC,Charlotte,A,3,0.09,North Carolina,"Charlotte, North Carolina",873570
NC,Charlotte,B,7,0.21,North Carolina,"Charlotte, North Carolina",873570
NC,Charlotte,C,13,0.38,North Carolina,"Charlotte, North Carolina",873570
NC,Charlotte,D,11,0.32,North Carolina,"Charlotte, North Carolina",873570
KY,Lexington,A,4,0.14,Kentucky,"Lexington, Kentucky",322200
KY,Lexington,B,5,0.17,Kentucky,"Lexington, Kentucky",322200
KY,Lexington,C,12,0.41,Kentucky,"Lexington, Kentucky",322200
KY,Lexington,D,8,0.28,Kentucky,"Lexington, Kentucky",322200
PA,Bethlehem,A,2,0.09,Pennsylvania,"Bethlehem, Pennsylvania",75571
PA,Bethlehem,B,6,0.26,Pennsylvania,"Bethlehem, Pennsylvania",75571
PA,Bethlehem,C,8,0.35,Pennsylvania,"Bethlehem, Pennsylvania",75571
PA,Bethlehem,D,7,0.3,Pennsylvania,"Bethlehem, Pennsylvania",75571
PA,Altoona,A,2,0.07,Pennsylvania,"Altoona, Pennsylvania",43669
PA,Altoona,B,13,0.43,Pennsylvania,"Altoona, Pennsylvania",43669
PA,Altoona,C,10,0.33,Pennsylvania,"Altoona, Pennsylvania",43669
PA,Altoona,D,5,0.17,Pennsylvania,"Altoona, Pennsylvania",43669
MA,Revere,C,3,0.75,Massachusetts,"Revere, Massachusetts",53400
MA,Revere,D,1,0.25,Massachusetts,"Revere, Massachusetts",53400
MA,Malden,B,1,0.17,Massachusetts,"Malden, Massachusetts",60710
MA,Malden,C,3,0.5,Massachusetts,"Malden, Massachusetts",60710
MA,Malden,D,2,0.33,Massachusetts,"Malden, Massachusetts",60710
MA,Watertown,B,1,0.2,Massachusetts,"Watertown, Massachusetts",35749
MA,Watertown,C,3,0.6,Massachusetts,"Watertown, Massachusetts",35749
MA,Watertown,D,1,0.2,Massachusetts,"Watertown, Massachusetts",35749
NY,Queens,A,1,0.01,New York,"Queens, New York",2331143
NY,Queens,B,17,0.1,New York,"Queens, New York",2331143
NY,Queens,C,111,0.66,New York,"Queens, New York",2331143
NY,Queens,D,39,0.23,New York,"Queens, New York",2331143
MO,Greater Kansas City,A,10,0.08,Missouri,"Greater Kansas City, Missouri",491158
MO,Greater Kansas City,B,23,0.19,Missouri,"Greater Kansas City, Missouri",491158
MO,Greater Kansas City,C,47,0.39,Missouri,"Greater Kansas City, Missouri",491158
MO,Greater Kansas City,D,40,0.33,Missouri,"Greater Kansas City, Missouri",491158
PA,New Castle,A,3,0.12,Pennsylvania,"New Castle, Pennsylvania",21805
PA,New Castle,B,6,0.23,Pennsylvania,"New Castle, Pennsylvania",21805
PA,New Castle,C,8,0.31,Pennsylvania,"New Castle, Pennsylvania",21805
PA,New Castle,D,9,0.35,Pennsylvania,"New Castle, Pennsylvania",21805
NY,Staten Island,A,4,0.06,New York,"Staten Island, New York","475,596"
NY,Staten Island,B,15,0.23,New York,"Staten Island, New York","475,596"
NY,Staten Island,C,24,0.36,New York,"Staten Island, New York","475,596"
NY,Staten Island,D,23,0.35,New York,"Staten Island, New York","475,596"
IN,Lake Co. Gary,A,7,0.12,Indiana,"Lake Co. Gary, Indiana",75486
IN,Lake Co. Gary,B,13,0.23,Indiana,"Lake Co. Gary, Indiana",75486
IN,Lake Co. Gary,C,23,0.4,Indiana,"Lake Co. Gary, Indiana",75486
IN,Lake Co. Gary,D,14,0.25,Indiana,"Lake Co. Gary, Indiana",75486
GA,Augusta,A,1,0.03,Georgia,"Augusta, Georgia",197535
GA,Augusta,B,9,0.3,Georgia,"Augusta, Georgia",197535
GA,Augusta,C,8,0.27,Georgia,"Augusta, Georgia",197535
GA,Augusta,D,12,0.4,Georgia,"Augusta, Georgia",197535
MA,Chelsea,C,4,0.8,Massachusetts,"Chelsea, Massachusetts",39878
MA,Chelsea,D,1,0.2,Massachusetts,"Chelsea, Massachusetts",39878
MA,Braintree,A,1,0.12,Massachusetts,"Braintree, Massachusetts","	37196"
MA,Braintree,B,5,0.62,Massachusetts,"Braintree, Massachusetts","	37196"
MA,Braintree,C,2,0.25,Massachusetts,"Braintree, Massachusetts","	37196"
MA,Boston,A,1,0.03,Massachusetts,"Boston, Massachusetts",689326
MA,Boston,B,8,0.21,Massachusetts,"Boston, Massachusetts",689326
MA,Boston,C,18,0.46,Massachusetts,"Boston, Massachusetts",689326
MA,Boston,D,12,0.31,Massachusetts,"Boston, Massachusetts",689326
MA,Brockton,A,2,0.12,Massachusetts,"Brockton, Massachusetts",95740
MA,Brockton,B,3,0.19,Massachusetts,"Brockton, Massachusetts",95740
MA,Brockton,C,10,0.62,Massachusetts,"Brockton, Massachusetts",95740
MA,Brockton,D,1,0.06,Massachusetts,"Brockton, Massachusetts",95740
WI,Kenosha,A,1,0.04,Wisconsin,"Kenosha, Wisconsin",99767
WI,Kenosha,B,4,0.17,Wisconsin,"Kenosha, Wisconsin",99767
WI,Kenosha,C,10,0.43,Wisconsin,"Kenosha, Wisconsin",99767
WI,Kenosha,D,8,0.35,Wisconsin,"Kenosha, Wisconsin",99767
MA,Chelsea,C,4,0.8,Massachusetts,"Chelsea, Massachusetts",39878
MA,Chelsea,D,1,0.2,Massachusetts,"Chelsea, Massachusetts",39878
NH,Manchester,A,1,0.04,New Hampshire,"Manchester, New Hampshire",112441
