state,city,holc_grade,count_tracts,perc_tracts,state.name,fullname,pop20
NH,Manchester,B,3,0.12,New Hampshire,"Manchester, New Hampshire",112441
NH,Manchester,C,11,0.42,New Hampshire,"Manchester, New Hampshire",112441
NH,Manchester,D,11,0.42,New Hampshire,"Manchester, New Hampshire",112441
NJ,Hudson Co.,B,7,0.12,New Jersey,"Hudson Co., New Jersey","671,923"
NJ,Hudson Co.,C,22,0.37,New Jersey,"Hudson Co., New Jersey","671,923"
NJ,Hudson Co.,D,31,0.52,New Jersey,"Hudson Co., New Jersey","671,923"
MA,Newton,A,3,0.2,Massachusetts,"Newton, Massachusetts",88322
MA,Newton,B,7,0.47,Massachusetts,"Newton, Massachusetts",88322
MA,Newton,C,3,0.2,Massachusetts,"Newton, Massachusetts",88322
MA,Newton,D,2,0.13,Massachusetts,"Newton, Massachusetts",88322
MA,Winthrop,B,3,0.43,Massachusetts,"Winthrop, Massachusetts",18558
MA,Winthrop,C,2,0.29,Massachusetts,"Winthrop, Massachusetts",18558
MA,Winthrop,D,2,0.29,Massachusetts,"Winthrop, Massachusetts",18558
NY,Lower Westchester Co.,A,18,0.2,New York,"Lower Westchester Co., New York","968,738"
NY,Lower Westchester Co.,B,30,0.33,New York,"Lower Westchester Co., New York","968,738"
NY,Lower Westchester Co.,C,28,0.31,New York,"Lower Westchester Co., New York","968,738"
NY,Lower Westchester Co.,D,14,0.16,New York,"Lower Westchester Co., New York","968,738"
NJ,Union Co.,A,18,0.14,New Jersey,"Union Co., New Jersey",2591
NJ,Union Co.,B,38,0.29,New Jersey,"Union Co., New Jersey",2591
NJ,Union Co.,C,51,0.39,New Jersey,"Union Co., New Jersey",2591
NJ,Union Co.,D,24,0.18,New Jersey,"Union Co., New Jersey",2591
MA,Revere,C,3,0.75,Massachusetts,"Revere, Massachusetts",53400
MA,Revere,D,1,0.25,Massachusetts,"Revere, Massachusetts",53400
NJ,Bergen Co.,A,10,0.06,New Jersey,"Bergen Co., New Jersey","931,275"
NJ,Bergen Co.,B,52,0.32,New Jersey,"Bergen Co., New Jersey","931,275"
NJ,Bergen Co.,C,75,0.47,New Jersey,"Bergen Co., New Jersey","931,275"
NJ,Bergen Co.,D,24,0.15,New Jersey,"Bergen Co., New Jersey","931,275"
NY,Brooklyn,A,1,0.02,New York,"Brooklyn, New York",2577000
NY,Brooklyn,B,17,0.26,New York,"Brooklyn, New York",2577000
NY,Brooklyn,C,25,0.38,New York,"Brooklyn, New York",2577000
NY,Brooklyn,D,23,0.35,New York,"Brooklyn, New York",2577000
MA,Waltham,A,1,0.12,Massachusetts,"Waltham, Massachusetts",62597
MA,Waltham,B,4,0.5,Massachusetts,"Waltham, Massachusetts",62597
MA,Waltham,C,2,0.25,Massachusetts,"Waltham, Massachusetts",62597
MA,Waltham,D,1,0.12,Massachusetts,"Waltham, Massachusetts",62597
PA,Chester,A,6,0.29,Pennsylvania,"Chester, Pennsylvania",33855
PA,Chester,B,6,0.29,Pennsylvania,"Chester, Pennsylvania",33855
PA,Chester,C,6,0.29,Pennsylvania,"Chester, Pennsylvania",33855
PA,Chester,D,3,0.14,Pennsylvania,"Chester, Pennsylvania",33855
NY,Bronx,A,2,0.05,New York,"Bronx, New York",1427000
NY,Bronx,B,11,0.25,New York,"Bronx, New York",1427000
NY,Bronx,C,23,0.52,New York,"Bronx, New York",1427000
NY,Bronx,D,7,0.16,New York,"Bronx, New York",1427000
NY,Bronx,E,1,0.02,New York,"Bronx, New York",1427000
MA,Medford,A,2,0.18,Massachusetts,"Medford, Massachusetts",58290
MA,Medford,B,3,0.27,Massachusetts,"Medford, Massachusetts",58290
MA,Medford,C,6,0.55,Massachusetts,"Medford, Massachusetts",58290
NY,Manhattan,A,8,0.15,New York,"Manhattan, New York",1629000
NY,Manhattan,B,12,0.23,New York,"Manhattan, New York",1629000
NY,Manhattan,C,6,0.11,New York,"Manhattan, New York",1629000
NY,Manhattan,D,27,0.51,New York,"Manhattan, New York",1629000
PA,Pittsburgh,A,11,0.1,Pennsylvania,"Pittsburgh, Pennsylvania",301286
PA,Pittsburgh,B,27,0.24,Pennsylvania,"Pittsburgh, Pennsylvania",301286
PA,Pittsburgh,C,42,0.37,Pennsylvania,"Pittsburgh, Pennsylvania",301286
PA,Pittsburgh,D,34,0.3,Pennsylvania,"Pittsburgh, Pennsylvania",301286
WV,Huntington,A,8,0.21,West Virginia,"Huntington, West Virginia",13526
WV,Huntington,B,10,0.26,West Virginia,"Huntington, West Virginia",13526
WV,Huntington,C,16,0.42,West Virginia,"Huntington, West Virginia",13526
WV,Huntington,D,4,0.11,West Virginia,"Huntington, West Virginia",13526
NJ,Essex Co.,A,31,0.22,New Jersey,"Essex Co., New Jersey",17356
NJ,Essex Co.,B,46,0.32,New Jersey,"Essex Co., New Jersey",17356
NJ,Essex Co.,C,44,0.31,New Jersey,"Essex Co., New Jersey",17356
NJ,Essex Co.,D,22,0.15,New Jersey,"Essex Co., New Jersey",17356
RI,Pawtucket & Central Falls,A,4,0.24,Rhode Island,"Pawtucket & Central Falls, Rhode Island",19437
RI,Pawtucket & Central Falls,B,6,0.35,Rhode Island,"Pawtucket & Central Falls, Rhode Island",19437
RI,Pawtucket & Central Falls,C,5,0.29,Rhode Island,"Pawtucket & Central Falls, Rhode Island",19437
RI,Pawtucket & Central Falls,D,2,0.12,Rhode Island,"Pawtucket & Central Falls, Rhode Island",19437
OH,Portsmouth,A,3,0.14,Ohio,"Portsmouth, Ohio",20094
OH,Portsmouth,B,3,0.14,Ohio,"Portsmouth, Ohio",20094
OH,Portsmouth,C,8,0.38,Ohio,"Portsmouth, Ohio",20094
OH,Portsmouth,D,7,0.33,Ohio,"Portsmouth, Ohio",20094
MA,Winchester,A,1,0.12,Massachusetts,"Winchester, Massachusetts",22760
MA,Winchester,B,6,0.75,Massachusetts,"Winchester, Massachusetts",22760
MA,Winchester,C,1,0.12,Massachusetts,"Winchester, Massachusetts",22760
MA,Dedham,B,3,0.3,Massachusetts,"Dedham, Massachusetts",25330
MA,Dedham,C,5,0.5,Massachusetts,"Dedham, Massachusetts",25330
MA,Dedham,D,2,0.2,Massachusetts,"Dedham, Massachusetts",25330
MA,Belmont,A,4,0.25,Massachusetts,"Belmont, Massachusetts",26158
MA,Belmont,B,7,0.44,Massachusetts,"Belmont, Massachusetts",26158
MA,Belmont,C,4,0.25,Massachusetts,"Belmont, Massachusetts",26158
MA,Belmont,D,1,0.06,Massachusetts,"Belmont, Massachusetts",26158
IL,East St. Louis,A,7,0.15,Illinois,"East St. Louis, Illinois",26359
IL,East St. Louis,B,9,0.19,Illinois,"East St. Louis, Illinois",26359
IL,East St. Louis,C,16,0.34,Illinois,"East St. Louis, Illinois",26359
IL,East St. Louis,D,15,0.32,Illinois,"East St. Louis, Illinois",26359
WV,Wheeling,A,3,0.12,West Virginia,"Wheeling, West Virginia",27046
WV,Wheeling,B,4,0.17,West Virginia,"Wheeling, West Virginia",27046
WV,Wheeling,C,9,0.38,West Virginia,"Wheeling, West Virginia",27046
WV,Wheeling,D,8,0.33,West Virginia,"Wheeling, West Virginia",27046
NY,Elmira,A,1,0.04,New York,"Elmira, New York",27236
NY,Elmira,B,5,0.21,New York,"Elmira, New York",27236
NY,Elmira,C,10,0.42,New York,"Elmira, New York",27236
NY,Elmira,D,8,0.33,New York,"Elmira, New York",27236
MA,Malden,B,1,0.17,Massachusetts,"Malden, Massachusetts",27590
MA,Malden,C,3,0.5,Massachusetts,"Malden, Massachusetts",27590
MA,Malden,D,2,0.33,Massachusetts,"Malden, Massachusetts",27590
MA,Milton,A,2,0.29,Massachusetts,"Milton, Massachusetts",27590
MA,Milton,B,3,0.43,Massachusetts,"Milton, Massachusetts",27590
MA,Milton,C,2,0.29,Massachusetts,"Milton, Massachusetts",27590
MA,Melrose,A,3,0.38,Massachusetts,"Melrose, Massachusetts",28054
MA,Melrose,B,4,0.5,Massachusetts,"Melrose, Massachusetts",28054
MA,Melrose,C,1,0.12,Massachusetts,"Melrose, Massachusetts",28054
MA,Saugus,B,2,0.33,Massachusetts,"Saugus, Massachusetts",28326
MA,Saugus,C,1,0.17,Massachusetts,"Saugus, Massachusetts",28326
MA,Saugus,D,3,0.5,Massachusetts,"Saugus, Massachusetts",28326
TN,Nashville,A,1,0.11,Tennessee,"Nashville, Tennessee",29325
TN,Nashville,B,2,0.22,Tennessee,"Nashville, Tennessee",29325
TN,Nashville,C,3,0.33,Tennessee,"Nashville, Tennessee",29325
TN,Nashville,D,3,0.33,Tennessee,"Nashville, Tennessee",29325
NY,Poughkeepsie,A,1,0.06,New York,"Poughkeepsie, New York",30341
NY,Poughkeepsie,B,4,0.24,New York,"Poughkeepsie, New York",30341
NY,Poughkeepsie,C,7,0.41,New York,"Poughkeepsie, New York",30341
NY,Poughkeepsie,D,5,0.29,New York,"Poughkeepsie, New York",30341
NJ,Trenton,A,2,0.06,New Jersey,"Trenton, New Jersey",31161
NJ,Trenton,B,10,0.28,New Jersey,"Trenton, New Jersey",31161
NJ,Trenton,C,20,0.56,New Jersey,"Trenton, New Jersey",31161
NJ,Trenton,D,4,0.11,New Jersey,"Trenton, New Jersey",31161
MA,Needham,B,4,0.67,Massachusetts,"Needham, Massachusetts",31177
MA,Needham,C,1,0.17,Massachusetts,"Needham, Massachusetts",31177
MA,Needham,D,1,0.17,Massachusetts,"Needham, Massachusetts",31177
MI,Jackson,A,1,0.08,Michigan,"Jackson, Michigan",32251
MI,Jackson,B,5,0.38,Michigan,"Jackson, Michigan",32251
MI,Jackson,C,5,0.38,Michigan,"Jackson, Michigan",32251
MI,Jackson,D,2,0.15,Michigan,"Jackson, Michigan",32251
MI,Bay City,A,1,0.06,Michigan,"Bay City, Michigan",32892
MI,Bay City,B,3,0.18,Michigan,"Bay City, Michigan",32892
MI,Bay City,C,5,0.29,Michigan,"Bay City, Michigan",32892
MI,Bay City,D,8,0.47,Michigan,"Bay City, Michigan",32892
MA,Lexington,A,4,0.31,Massachusetts,"Lexington, Massachusetts",33304
MA,Lexington,B,4,0.31,Massachusetts,"Lexington, Massachusetts",33304
MA,Lexington,C,5,0.38,Massachusetts,"Lexington, Massachusetts",33304
OH,Lima,A,1,0.04,Ohio,"Lima, Ohio",36908
OH,Lima,B,7,0.26,Ohio,"Lima, Ohio",36908
OH,Lima,C,13,0.48,Ohio,"Lima, Ohio",36908
OH,Lima,D,6,0.22,Ohio,"Lima, Ohio",36908
MI,Muskegon,A,1,0.05,Michigan,"Muskegon, Michigan",37317
MI,Muskegon,B,5,0.24,Michigan,"Muskegon, Michigan",37317
MI,Muskegon,C,8,0.38,Michigan,"Muskegon, Michigan",37317
MI,Muskegon,D,7,0.33,Michigan,"Muskegon, Michigan",37317
OH,Warren,A,1,0.05,Ohio,"Warren, Ohio",38986
OH,Warren,B,7,0.35,Ohio,"Warren, Ohio",38986
OH,Warren,C,8,0.4,Ohio,"Warren, Ohio",38986
OH,Warren,D,4,0.2,Ohio,"Warren, Ohio",38986
MA,Holyoke Chicopee,A,2,0.08,Massachusetts,"Holyoke Chicopee, Massachusetts",40161
MA,Holyoke Chicopee,B,7,0.27,Massachusetts,"Holyoke Chicopee, Massachusetts",40161
MA,Holyoke Chicopee,C,10,0.38,Massachusetts,"Holyoke Chicopee, Massachusetts",40161
MA,Holyoke Chicopee,D,7,0.27,Massachusetts,"Holyoke Chicopee, Massachusetts",40161
KY,Covington,A,7,0.15,Kentucky,"Covington, Kentucky",40466
KY,Covington,B,18,0.38,Kentucky,"Covington, Kentucky",40466
KY,Covington,C,17,0.35,Kentucky,"Covington, Kentucky",40466
KY,Covington,D,6,0.12,Kentucky,"Covington, Kentucky",40466
PA,Wilkes-Barre,A,7,0.32,Pennsylvania,"Wilkes-Barre, Pennsylvania",40805
PA,Wilkes-Barre,B,7,0.32,Pennsylvania,"Wilkes-Barre, Pennsylvania",40805
PA,Wilkes-Barre,D,8,0.36,Pennsylvania,"Wilkes-Barre, Pennsylvania",40805
RI,Woonsocket,A,1,0.12,Rhode Island,"Woonsocket, Rhode Island",41616
RI,Woonsocket,B,2,0.25,Rhode Island,"Woonsocket, Rhode Island",41616
RI,Woonsocket,C,1,0.12,Rhode Island,"Woonsocket, Rhode Island",41616
RI,Woonsocket,D,4,0.5,Rhode Island,"Woonsocket, Rhode Island",41616
NY,Binghamton-Johnson City,A,4,0.14,New York,"Binghamton-Johnson City, New York",44819
NY,Binghamton-Johnson City,B,11,0.39,New York,"Binghamton-Johnson City, New York",44819
NY,Binghamton-Johnson City,C,10,0.36,New York,"Binghamton-Johnson City, New York",44819
NY,Binghamton-Johnson City,D,3,0.11,New York,"Binghamton-Johnson City, New York",44819
MA,Arlington,A,3,0.18,Massachusetts,"Arlington, Massachusetts",45379
MA,Arlington,B,10,0.59,Massachusetts,"Arlington, Massachusetts",45379
MA,Arlington,C,4,0.24,Massachusetts,"Arlington, Massachusetts",45379
MA,Everett,C,1,0.25,Massachusetts,"Everett, Massachusetts",46275
MA,Everett,D,3,0.75,Massachusetts,"Everett, Massachusetts",46275
WV,Charleston,A,5,0.12,West Virginia,"Charleston, West Virginia",47273
WV,Charleston,B,11,0.26,West Virginia,"Charleston, West Virginia",47273
WV,Charleston,C,14,0.33,West Virginia,"Charleston, West Virginia",47273
WV,Charleston,D,13,0.3,West Virginia,"Charleston, West Virginia",47273
NY,Niagara Falls,A,1,0.07,New York,"Niagara Falls, New York",47978
NY,Niagara Falls,B,7,0.5,New York,"Niagara Falls, New York",47978
NY,Niagara Falls,C,4,0.29,New York,"Niagara Falls, New York",47978
NY,Niagara Falls,D,2,0.14,New York,"Niagara Falls, New York",47978
MI,Saginaw,A,5,0.16,Michigan,"Saginaw, Michigan",48407
MI,Saginaw,B,4,0.13,Michigan,"Saginaw, Michigan",48407
MI,Saginaw,C,16,0.52,Michigan,"Saginaw, Michigan",48407
MI,Saginaw,D,6,0.19,Michigan,"Saginaw, Michigan",48407
PA,Harrisburg,A,4,0.08,Pennsylvania,"Harrisburg, Pennsylvania",49247
PA,Harrisburg,B,15,0.31,Pennsylvania,"Harrisburg, Pennsylvania",49247
PA,Harrisburg,C,9,0.19,Pennsylvania,"Harrisburg, Pennsylvania",49247
PA,Harrisburg,D,20,0.42,Pennsylvania,"Harrisburg, Pennsylvania",49247
NY,Troy,A,1,0.03,New York,"Troy, New York",49253
NY,Troy,B,11,0.31,New York,"Troy, New York",49253
NY,Troy,C,15,0.42,New York,"Troy, New York",49253
NY,Troy,D,9,0.25,New York,"Troy, New York",49253
TX,Galveston,A,1,0.25,Texas,"Galveston, Texas",50307
TX,Galveston,B,1,0.25,Texas,"Galveston, Texas",50307
TX,Galveston,C,1,0.25,Texas,"Galveston, Texas",50307
TX,Galveston,D,1,0.25,Texas,"Galveston, Texas",50307
MI,Battle Creek,A,3,0.08,Michigan,"Battle Creek, Michigan",51084
MI,Battle Creek,B,8,0.21,Michigan,"Battle Creek, Michigan",51084
MI,Battle Creek,C,17,0.44,Michigan,"Battle Creek, Michigan",51084
MI,Battle Creek,D,11,0.28,Michigan,"Battle Creek, Michigan",51084
TX,Port Arthur,A,1,0.14,Texas,"Port Arthur, Texas",54705
TX,Port Arthur,B,2,0.29,Texas,"Port Arthur, Texas",54705
TX,Port Arthur,C,1,0.14,Texas,"Port Arthur, Texas",54705
TX,Port Arthur,D,3,0.43,Texas,"Port Arthur, Texas",54705
IA,Dubuque,A,1,0.1,Iowa,"Dubuque, Iowa",58052
IA,Dubuque,B,2,0.2,Iowa,"Dubuque, Iowa",58052
IA,Dubuque,C,4,0.4,Iowa,"Dubuque, Iowa",58052
IA,Dubuque,D,3,0.3,Iowa,"Dubuque, Iowa",58052
OH,Springfield,A,7,0.19,Ohio,"Springfield, Ohio",58957
OH,Springfield,B,9,0.24,Ohio,"Springfield, Ohio",58957
OH,Springfield,C,13,0.35,Ohio,"Springfield, Ohio",58957
OH,Springfield,D,8,0.22,Ohio,"Springfield, Ohio",58957
MA,Brookline,A,2,0.17,Massachusetts,"Brookline, Massachusetts",59223
MA,Brookline,B,5,0.42,Massachusetts,"Brookline, Massachusetts",59223
MA,Brookline,C,4,0.33,Massachusetts,"Brookline, Massachusetts",59223
MA,Brookline,D,1,0.08,Massachusetts,"Brookline, Massachusetts",59223
MI,Pontiac,A,3,0.09,Michigan,"Pontiac, Michigan",59714
MI,Pontiac,B,8,0.24,Michigan,"Pontiac, Michigan",59714
MI,Pontiac,C,14,0.41,Michigan,"Pontiac, Michigan",59714
MI,Pontiac,D,9,0.26,Michigan,"Pontiac, Michigan",59714
NY,Utica,A,4,0.16,New York,"Utica, New York",59984
NY,Utica,B,4,0.16,New York,"Utica, New York",59984
NY,Utica,C,11,0.44,New York,"Utica, New York",59984
NY,Utica,D,6,0.24,New York,"Utica, New York",59984
IN,Terre Haute,A,3,0.11,Indiana,"Terre Haute, Indiana",60690
IN,Terre Haute,B,4,0.15,Indiana,"Terre Haute, Indiana",60690
IN,Terre Haute,C,9,0.33,Indiana,"Terre Haute, Indiana",60690
IN,Terre Haute,D,11,0.41,Indiana,"Terre Haute, Indiana",60690
OH,Hamilton,A,2,0.09,Ohio,"Hamilton, Ohio",62162
OH,Hamilton,B,4,0.17,Ohio,"Hamilton, Ohio",62162
OH,Hamilton,C,12,0.52,Ohio,"Hamilton, Ohio",62162
OH,Hamilton,D,5,0.22,Ohio,"Hamilton, Ohio",62162
IA,Council Bluffs,A,3,0.17,Iowa,"Council Bluffs, Iowa",62376
IA,Council Bluffs,B,7,0.39,Iowa,"Council Bluffs, Iowa",62376
IA,Council Bluffs,C,6,0.33,Iowa,"Council Bluffs, Iowa",62376
IA,Council Bluffs,D,2,0.11,Iowa,"Council Bluffs, Iowa",62376
MA,Haverhill,A,2,0.08,Massachusetts,"Haverhill, Massachusetts",63783
MA,Haverhill,B,5,0.2,Massachusetts,"Haverhill, Massachusetts",63783
MA,Haverhill,C,10,0.4,Massachusetts,"Haverhill, Massachusetts",63783
MA,Haverhill,D,8,0.32,Massachusetts,"Haverhill, Massachusetts",63783
OH,Lorain,B,3,0.17,Ohio,"Lorain, Ohio",63832
OH,Lorain,C,9,0.5,Ohio,"Lorain, Ohio",63832
OH,Lorain,D,6,0.33,Ohio,"Lorain, Ohio",63832
OH,Youngstown,A,5,0.12,Ohio,"Youngstown, Ohio",64152
OH,Youngstown,B,10,0.24,Ohio,"Youngstown, Ohio",64152
OH,Youngstown,C,18,0.43,Ohio,"Youngstown, Ohio",64152
OH,Youngstown,D,9,0.21,Ohio,"Youngstown, Ohio",64152
NY,Schenectady,A,5,0.14,New York,"Schenectady, New York",65336
NY,Schenectady,B,5,0.14,New York,"Schenectady, New York",65336
NY,Schenectady,C,20,0.54,New York,"Schenectady, New York",65336
NY,Schenectady,D,7,0.19,New York,"Schenectady, New York",65336
WI,Oshkosh,B,4,0.17,Wisconsin,"Oshkosh, Wisconsin",66753
WI,Oshkosh,C,8,0.33,Wisconsin,"Oshkosh, Wisconsin",66753
WI,Oshkosh,D,12,0.5,Wisconsin,"Oshkosh, Wisconsin",66753
IA,Waterloo,A,2,0.09,Iowa,"Waterloo, Iowa",67671
IA,Waterloo,B,5,0.23,Iowa,"Waterloo, Iowa",67671
IA,Waterloo,C,6,0.27,Iowa,"Waterloo, Iowa",67671
IA,Waterloo,D,9,0.41,Iowa,"Waterloo, Iowa",67671
IN,Muncie,B,3,0.12,Indiana,"Muncie, Indiana",67739
IN,Muncie,C,15,0.6,Indiana,"Muncie, Indiana",67739
IN,Muncie,D,7,0.28,Indiana,"Muncie, Indiana",67739
OH,Canton,A,2,0.07,Ohio,"Canton, Ohio",70863
OH,Canton,B,9,0.32,Ohio,"Canton, Ohio",70863
OH,Canton,C,10,0.36,Ohio,"Canton, Ohio",70863
OH,Canton,D,7,0.25,Ohio,"Canton, Ohio",70863
IL,Decatur,A,2,0.08,Illinois,"Decatur, Illinois",71857
