"","state","city","holc_grade","count_tracts","perc_tracts"
"1","AL","Birmingham","A",3,0.05
"2","AL","Birmingham","B",16,0.27
"3","AL","Birmingham","C",20,0.33
"4","AL","Birmingham","D",21,0.35
"5","AL","Mobile","A",6,0.17
"6","AL","Mobile","B",14,0.4
"7","AL","Mobile","C",9,0.26
"8","AL","Mobile","D",6,0.17
"9","AL","Montgomery","A",3,0.16
"10","AL","Montgomery","B",3,0.16
"11","AL","Montgomery","C",6,0.32
"12","AL","Montgomery","D",7,0.37
"13","AR","Little Rock","A",5,0.14
"14","AR","Little Rock","B",12,0.34
"15","AR","Little Rock","C",10,0.29
"16","AR","Little Rock","D",8,0.23
"17","AZ","Phoenix","A",5,0.2
"18","AZ","Phoenix","B",8,0.32
"19","AZ","Phoenix","C",4,0.16
"20","AZ","Phoenix","D",8,0.32
"21","CA","Fresno","A",2,0.08
"22","CA","Fresno","B",5,0.21
"23","CA","Fresno","C",9,0.38
"24","CA","Fresno","D",8,0.33
"25","CA","Los Angeles","A",57,0.14
"26","CA","Los Angeles","B",121,0.29
"27","CA","Los Angeles","C",167,0.4
"28","CA","Los Angeles","D",71,0.17
"29","CA","Oakland","A",12,0.1
"30","CA","Oakland","B",46,0.39
"31","CA","Oakland","C",41,0.34
"32","CA","Oakland","D",20,0.17
"33","CA","Sacramento","A",3,0.05
"34","CA","Sacramento","B",16,0.29
"35","CA","Sacramento","C",30,0.54
"36","CA","Sacramento","D",7,0.12
"37","CA","San Diego","A",17,0.22
"38","CA","San Diego","B",27,0.36
"39","CA","San Diego","C",22,0.29
"40","CA","San Diego","D",10,0.13
"41","CA","San Francisco","A",13,0.13
"42","CA","San Francisco","B",36,0.37
"43","CA","San Francisco","C",31,0.32
"44","CA","San Francisco","D",17,0.18
"45","CA","San Jose","A",2,0.05
"46","CA","San Jose","B",7,0.19
"47","CA","San Jose","C",17,0.46
"48","CA","San Jose","D",11,0.3
"49","CA","Stockton","A",3,0.07
"50","CA","Stockton","B",15,0.35
"51","CA","Stockton","C",14,0.33
"52","CA","Stockton","D",11,0.26
"53","CO","Denver","A",6,0.11
"54","CO","Denver","B",12,0.22
"55","CO","Denver","C",20,0.37
"56","CO","Denver","D",16,0.3
"57","CO","Pueblo","A",6,0.19
"58","CO","Pueblo","B",7,0.22
"59","CO","Pueblo","C",9,0.28
"60","CO","Pueblo","D",10,0.31
"61","CT","Hartford","A",8,0.3
"62","CT","Hartford","B",6,0.22
"63","CT","Hartford","C",10,0.37
"64","CT","Hartford","D",3,0.11
"65","CT","New Britain","A",2,0.22
"66","CT","New Britain","B",4,0.44
"67","CT","New Britain","C",2,0.22
"68","CT","New Britain","D",1,0.11
"69","CT","New Haven","A",8,0.17
"70","CT","New Haven","B",10,0.21
"71","CT","New Haven","C",20,0.43
"72","CT","New Haven","D",9,0.19
"73","CT","Stamford, Darien, and New Canaan","A",8,0.3
"74","CT","Stamford, Darien, and New Canaan","B",10,0.37
"75","CT","Stamford, Darien, and New Canaan","C",6,0.22
"76","CT","Stamford, Darien, and New Canaan","D",3,0.11
"77","CT","Waterbury","A",1,0.07
"78","CT","Waterbury","B",5,0.33
"79","CT","Waterbury","C",7,0.47
"80","CT","Waterbury","D",2,0.13
"81","FL","Jacksonville","A",2,0.17
"82","FL","Jacksonville","B",4,0.33
"83","FL","Jacksonville","C",5,0.42
"84","FL","Jacksonville","D",1,0.08
"85","FL","Miami","A",15,0.2
"86","FL","Miami","B",25,0.34
"87","FL","Miami","C",21,0.28
"88","FL","Miami","D",13,0.18
"89","FL","St. Petersburg","A",5,0.1
"90","FL","St. Petersburg","B",9,0.19
"91","FL","St. Petersburg","C",20,0.42
"92","FL","St. Petersburg","D",14,0.29
"93","FL","Tampa","A",4,0.17
"94","FL","Tampa","B",5,0.21
"95","FL","Tampa","C",9,0.38
"96","FL","Tampa","D",6,0.25
"97","GA","Atlanta","A",9,0.08
"98","GA","Atlanta","B",28,0.25
"99","GA","Atlanta","C",42,0.38
"100","GA","Atlanta","D",32,0.29
"101","GA","Augusta","A",1,0.03
"102","GA","Augusta","B",9,0.3
"103","GA","Augusta","C",8,0.27
"104","GA","Augusta","D",12,0.4
