"","state","city","holc_grade","count_tracts","perc_tracts"
"105","GA","Columbus","A",4,0.16
"106","GA","Columbus","B",7,0.28
"107","GA","Columbus","C",9,0.36
"108","GA","Columbus","D",5,0.2
"109","GA","Macon","A",2,0.05
"110","GA","Macon","B",6,0.15
"111","GA","Macon","C",16,0.4
"112","GA","Macon","D",16,0.4
"113","GA","Savannah","A",3,0.12
"114","GA","Savannah","B",8,0.32
"115","GA","Savannah","C",4,0.16
"116","GA","Savannah","D",8,0.32
"117","GA","Savannah","E",2,0.08
"118","IA","Council Bluffs","A",3,0.17
"119","IA","Council Bluffs","B",7,0.39
"120","IA","Council Bluffs","C",6,0.33
"121","IA","Council Bluffs","D",2,0.11
"122","IA","Davenport","A",2,0.08
"123","IA","Davenport","B",7,0.29
"124","IA","Davenport","C",11,0.46
"125","IA","Davenport","D",4,0.17
"126","IA","Des Moines","A",7,0.29
"127","IA","Des Moines","B",6,0.25
"128","IA","Des Moines","C",6,0.25
"129","IA","Des Moines","D",5,0.21
"130","IA","Dubuque","A",1,0.1
"131","IA","Dubuque","B",2,0.2
"132","IA","Dubuque","C",4,0.4
"133","IA","Dubuque","D",3,0.3
"134","IA","Sioux City","A",1,0.05
"135","IA","Sioux City","B",4,0.18
"136","IA","Sioux City","C",10,0.45
"137","IA","Sioux City","D",7,0.32
"138","IA","Waterloo","A",2,0.09
"139","IA","Waterloo","B",5,0.23
"140","IA","Waterloo","C",6,0.27
"141","IA","Waterloo","D",9,0.41
"142","IL","Aurora","A",2,0.09
"143","IL","Aurora","B",5,0.23
"144","IL","Aurora","C",6,0.27
"145","IL","Aurora","D",9,0.41
"146","IL","Chicago","A",37,0.06
"147","IL","Chicago","B",132,0.23
"148","IL","Chicago","C",277,0.48
"149","IL","Chicago","D",134,0.23
"150","IL","Decatur","A",2,0.08
"151","IL","Decatur","B",9,0.38
"152","IL","Decatur","C",6,0.25
"153","IL","Decatur","D",7,0.29
"154","IL","East St. Louis","A",7,0.15
"155","IL","East St. Louis","B",9,0.19
"156","IL","East St. Louis","C",16,0.34
"157","IL","East St. Louis","D",15,0.32
"158","IL","Joliet","A",1,0.03
"159","IL","Joliet","B",8,0.25
"160","IL","Joliet","C",14,0.44
"161","IL","Joliet","D",9,0.28
"162","IL","Peoria","A",4,0.17
"163","IL","Peoria","B",6,0.26
"164","IL","Peoria","C",9,0.39
"165","IL","Peoria","D",4,0.17
"166","IL","Rockford","A",6,0.19
"167","IL","Rockford","B",7,0.22
"168","IL","Rockford","C",9,0.28
"169","IL","Rockford","D",10,0.31
"170","IL","Springfield","A",4,0.13
"171","IL","Springfield","B",5,0.16
"172","IL","Springfield","C",7,0.23
"173","IL","Springfield","D",15,0.48
"174","IN","Evansville","A",2,0.08
"175","IN","Evansville","B",3,0.12
"176","IN","Evansville","C",12,0.5
"177","IN","Evansville","D",7,0.29
"178","IN","Fort Wayne","A",5,0.11
"179","IN","Fort Wayne","B",15,0.32
"180","IN","Fort Wayne","C",20,0.43
"181","IN","Fort Wayne","D",7,0.15
"182","IN","Indianapolis","A",5,0.07
"183","IN","Indianapolis","B",17,0.23
"184","IN","Indianapolis","C",24,0.33
"185","IN","Indianapolis","D",27,0.37
"186","IN","Lake Co. Gary","A",7,0.12
"187","IN","Lake Co. Gary","B",13,0.23
"188","IN","Lake Co. Gary","C",23,0.4
"189","IN","Lake Co. Gary","D",14,0.25
"190","IN","Muncie","B",3,0.12
"191","IN","Muncie","C",15,0.6
"192","IN","Muncie","D",7,0.28
"193","IN","South Bend","A",6,0.14
"194","IN","South Bend","B",13,0.3
"195","IN","South Bend","C",13,0.3
"196","IN","South Bend","D",11,0.26
"197","IN","Terre Haute","A",3,0.11
"198","IN","Terre Haute","B",4,0.15
"199","IN","Terre Haute","C",9,0.33
"200","IN","Terre Haute","D",11,0.41
"201","KS","Topeka","A",7,0.17
"202","KS","Topeka","B",8,0.2
"203","KS","Topeka","C",10,0.24
"204","KS","Topeka","D",16,0.39
"205","KS","Wichita","A",10,0.26
"206","KS","Wichita","B",5,0.13
"207","KS","Wichita","C",6,0.16
"208","KS","Wichita","D",17,0.45
"209","KY","Covington","A",7,0.15
"210","KY","Covington","B",18,0.38
"211","KY","Covington","C",17,0.35
"212","KY","Covington","D",6,0.12
"213","KY","Lexington","A",4,0.14
"214","KY","Lexington","B",5,0.17
"215","KY","Lexington","C",12,0.41
"216","KY","Lexington","D",8,0.28
"217","KY","Louisville","A",8,0.15
"218","KY","Louisville","B",16,0.3
"219","KY","Louisville","C",17,0.31
"220","KY","Louisville","D",13,0.24
"221","LA","New Orleans","A",10,0.07
"222","LA","New Orleans","B",23,0.17
"223","LA","New Orleans","C",52,0.39
"224","LA","New Orleans","D",49,0.37
"225","LA","Shreveport","A",2,0.08
"226","LA","Shreveport","B",4,0.15
"227","LA","Shreveport","C",10,0.38
"228","LA","Shreveport","D",10,0.38
"229","MA","Arlington","A",3,0.18
"230","MA","Arlington","B",10,0.59
"231","MA","Arlington","C",4,0.24
"232","MA","Belmont","A",4,0.25
"233","MA","Belmont","B",7,0.44
"234","MA","Belmont","C",4,0.25
"235","MA","Belmont","D",1,0.06
"236","MA","Boston","A",1,0.03
"237","MA","Boston","B",8,0.21
"238","MA","Boston","C",18,0.46
"239","MA","Boston","D",12,0.31
"240","MA","Braintree","A",1,0.12
"241","MA","Braintree","B",5,0.62
"242","MA","Braintree","C",2,0.25
"243","MA","Brockton","A",2,0.12
"244","MA","Brockton","B",3,0.19
"245","MA","Brockton","C",10,0.62
"246","MA","Brockton","D",1,0.06
"247","MA","Brookline","A",2,0.17
"248","MA","Brookline","B",5,0.42
"249","MA","Brookline","C",4,0.33
"250","MA","Brookline","D",1,0.08
"251","MA","Cambridge","A",1,0.06
"252","MA","Cambridge","B",7,0.44
"253","MA","Cambridge","C",6,0.38
"254","MA","Cambridge","D",2,0.12
"255","MA","Chelsea","C",4,0.8
"256","MA","Chelsea","D",1,0.2
"257","MA","Dedham","B",3,0.3
"258","MA","Dedham","C",5,0.5
"259","MA","Dedham","D",2,0.2
"260","MA","Everett","C",1,0.25
"261","MA","Everett","D",3,0.75
"262","MA","Haverhill","A",2,0.08
"263","MA","Haverhill","B",5,0.2
"264","MA","Haverhill","C",10,0.4
"265","MA","Haverhill","D",8,0.32
"266","MA","Holyoke Chicopee","A",2,0.08
"267","MA","Holyoke Chicopee","B",7,0.27
"268","MA","Holyoke Chicopee","C",10,0.38
"269","MA","Holyoke Chicopee","D",7,0.27
"270","MA","Lexington","A",4,0.31
"271","MA","Lexington","B",4,0.31
"272","MA","Lexington","C",5,0.38
"273","MA","Malden","B",1,0.17
"274","MA","Malden","C",3,0.5
"275","MA","Malden","D",2,0.33
"276","MA","Medford","A",2,0.18
"277","MA","Medford","B",3,0.27
"278","MA","Medford","C",6,0.55
"279","MA","Melrose","A",3,0.38
"280","MA","Melrose","B",4,0.5
"281","MA","Melrose","C",1,0.12
"282","MA","Milton","A",2,0.29
"283","MA","Milton","B",3,0.43
"284","MA","Milton","C",2,0.29
"285","MA","Needham","B",4,0.67
"286","MA","Needham","C",1,0.17
"287","MA","Needham","D",1,0.17
"288","MA","Newton","A",3,0.2
"289","MA","Newton","B",7,0.47
"290","MA","Newton","C",3,0.2
"291","MA","Newton","D",2,0.13
"292","MA","Quincy","B",6,0.55
"293","MA","Quincy","C",4,0.36
"294","MA","Quincy","D",1,0.09
"295","MA","Revere","C",3,0.75
"296","MA","Revere","D",1,0.25
"297","MA","Saugus","B",2,0.33
"298","MA","Saugus","C",1,0.17
"299","MA","Saugus","D",3,0.5
"300","MA","Somerville","B",2,0.25
"301","MA","Somerville","C",6,0.75
"302","MA","Waltham","A",1,0.12
"303","MA","Waltham","B",4,0.5
"304","MA","Waltham","C",2,0.25
"305","MA","Waltham","D",1,0.12
"306","MA","Watertown","B",1,0.2
"307","MA","Watertown","C",3,0.6
"308","MA","Watertown","D",1,0.2
"309","MA","Winchester","A",1,0.12
"310","MA","Winchester","B",6,0.75
"311","MA","Winchester","C",1,0.12
"312","MA","Winthrop","B",3,0.43
"313","MA","Winthrop","C",2,0.29
"314","MA","Winthrop","D",2,0.29
"315","MD","Baltimore","A",6,0.1
"316","MD","Baltimore","B",22,0.37
"317","MD","Baltimore","C",22,0.37
"318","MD","Baltimore","D",9,0.15
"319","MI","Battle Creek","A",3,0.08
"320","MI","Battle Creek","B",8,0.21
"321","MI","Battle Creek","C",17,0.44
"322","MI","Battle Creek","D",11,0.28
"323","MI","Bay City","A",1,0.06
"324","MI","Bay City","B",3,0.18
"325","MI","Bay City","C",5,0.29
"326","MI","Bay City","D",8,0.47
"327","MI","Detroit","A",15,0.06
"328","MI","Detroit","B",39,0.16
"329","MI","Detroit","C",122,0.51
"330","MI","Detroit","D",62,0.26
"331","MI","Flint","A",2,0.04
"332","MI","Flint","B",7,0.14
"333","MI","Flint","C",18,0.36
"334","MI","Flint","D",23,0.46
"335","MI","Grand Rapids","A",6,0.1
"336","MI","Grand Rapids","B",20,0.33
"337","MI","Grand Rapids","C",28,0.46
"338","MI","Grand Rapids","D",7,0.11
"339","MI","Jackson","A",1,0.08
"340","MI","Jackson","B",5,0.38
"341","MI","Jackson","C",5,0.38
"342","MI","Jackson","D",2,0.15
"343","MI","Kalamazoo","A",3,0.07
"344","MI","Kalamazoo","B",9,0.2
"345","MI","Kalamazoo","C",24,0.52
"346","MI","Kalamazoo","D",10,0.22
"347","MI","Lansing","A",1,0.25
"348","MI","Lansing","B",1,0.25
"349","MI","Lansing","C",1,0.25
"350","MI","Lansing","D",1,0.25
"351","MI","Muskegon","A",1,0.05
"352","MI","Muskegon","B",5,0.24
"353","MI","Muskegon","C",8,0.38
"354","MI","Muskegon","D",7,0.33
"355","MI","Pontiac","A",3,0.09
"356","MI","Pontiac","B",8,0.24
"357","MI","Pontiac","C",14,0.41
"358","MI","Pontiac","D",9,0.26
"359","MI","Saginaw","A",5,0.16
"360","MI","Saginaw","B",4,0.13
"361","MI","Saginaw","C",16,0.52
"362","MI","Saginaw","D",6,0.19
"363","MN","Duluth","A",4,0.12
"364","MN","Duluth","B",7,0.21
"365","MN","Duluth","C",13,0.39
"366","MN","Duluth","D",8,0.24
"367","MN","Duluth","E",1,0.03
"368","MN","Minneapolis","A",14,0.2
"369","MN","Minneapolis","B",22,0.31
"370","MN","Minneapolis","C",20,0.29
"371","MN","Minneapolis","D",14,0.2
"372","MN","Rochester","A",1,0.25
"373","MN","Rochester","B",1,0.25
"374","MN","Rochester","C",1,0.25
"375","MN","Rochester","D",1,0.25
"376","MN","St. Paul","A",6,0.17
"377","MN","St. Paul","B",12,0.33
"378","MN","St. Paul","C",8,0.22
"379","MN","St. Paul","D",10,0.28
"380","MO","Greater Kansas City","A",10,0.08
"381","MO","Greater Kansas City","B",23,0.19
"382","MO","Greater Kansas City","C",47,0.39
"383","MO","Greater Kansas City","D",40,0.33
"384","MO","Springfield","A",2,0.09
"385","MO","Springfield","B",3,0.13
"386","MO","Springfield","C",10,0.43
"387","MO","Springfield","D",8,0.35
"388","MO","St. Joseph","A",3,0.09
"389","MO","St. Joseph","B",7,0.21
"390","MO","St. Joseph","C",8,0.24
"391","MO","St. Joseph","D",15,0.45
"392","MO","St. Louis","A",31,0.25
"393","MO","St. Louis","B",40,0.32
"394","MO","St. Louis","C",39,0.31
"395","MO","St. Louis","D",16,0.13
"396","MS","Jackson","A",4,0.16
"397","MS","Jackson","B",7,0.28
"398","MS","Jackson","C",8,0.32
"399","MS","Jackson","D",6,0.24
"400","NC","Asheville","A",3,0.14
"401","NC","Asheville","B",10,0.48
"402","NC","Asheville","C",4,0.19
"403","NC","Asheville","D",4,0.19
"404","NC","Charlotte","A",3,0.09
"405","NC","Charlotte","B",7,0.21
"406","NC","Charlotte","C",13,0.38
"407","NC","Charlotte","D",11,0.32
"408","NC","Durham","A",5,0.21
"409","NC","Durham","B",6,0.25
"410","NC","Durham","C",7,0.29
"411","NC","Durham","D",6,0.25
"412","NC","Greensboro","A",3,0.14
"413","NC","Greensboro","B",6,0.29
"414","NC","Greensboro","C",9,0.43
"415","NC","Greensboro","D",3,0.14
"416","NC","Winston-Salem","A",1,0.04
"417","NC","Winston-Salem","B",5,0.22
"418","NC","Winston-Salem","C",11,0.48
"419","NC","Winston-Salem","D",6,0.26
"420","NE","Lincoln","A",2,0.09
"421","NE","Lincoln","B",10,0.45
"422","NE","Lincoln","C",8,0.36
"423","NE","Lincoln","D",2,0.09
"424","NE","Omaha","A",1,0.11
"425","NE","Omaha","B",2,0.22
"426","NE","Omaha","C",3,0.33
"427","NE","Omaha","D",3,0.33
"428","NH","Manchester","A",1,0.04
"429","NH","Manchester","B",3,0.12
"430","NH","Manchester","C",11,0.42
"431","NH","Manchester","D",11,0.42
"432","NJ","Atlantic City","A",2,0.07
"433","NJ","Atlantic City","B",7,0.26
"434","NJ","Atlantic City","C",15,0.56
"435","NJ","Atlantic City","D",3,0.11
"436","NJ","Bergen Co.","A",10,0.06
"437","NJ","Bergen Co.","B",52,0.32
"438","NJ","Bergen Co.","C",75,0.47
"439","NJ","Bergen Co.","D",24,0.15
"440","NJ","Camden","A",4,0.11
"441","NJ","Camden","B",15,0.39
"442","NJ","Camden","C",13,0.34
"443","NJ","Camden","D",6,0.16
"444","NJ","Essex Co.","A",31,0.22
"445","NJ","Essex Co.","B",46,0.32
"446","NJ","Essex Co.","C",44,0.31
"447","NJ","Essex Co.","D",22,0.15
"448","NJ","Hudson Co.","B",7,0.12
"449","NJ","Hudson Co.","C",22,0.37
"450","NJ","Hudson Co.","D",31,0.52
"451","NJ","Trenton","A",2,0.06
"452","NJ","Trenton","B",10,0.28
"453","NJ","Trenton","C",20,0.56
"454","NJ","Trenton","D",4,0.11
"455","NJ","Union Co.","A",18,0.14
"456","NJ","Union Co.","B",38,0.29
"457","NJ","Union Co.","C",51,0.39
"458","NJ","Union Co.","D",24,0.18
"459","NY","Albany","A",6,0.21
"460","NY","Albany","B",7,0.25
"461","NY","Albany","C",9,0.32
"462","NY","Albany","D",6,0.21
"463","NY","Binghamton-Johnson City","A",4,0.14
"464","NY","Binghamton-Johnson City","B",11,0.39
"465","NY","Binghamton-Johnson City","C",10,0.36
"466","NY","Binghamton-Johnson City","D",3,0.11
"467","NY","Bronx","A",2,0.05
"468","NY","Bronx","B",11,0.25
"469","NY","Bronx","C",23,0.52
"470","NY","Bronx","D",7,0.16
"471","NY","Bronx","E",1,0.02
"472","NY","Brooklyn","A",1,0.02
"473","NY","Brooklyn","B",17,0.26
"474","NY","Brooklyn","C",25,0.38
"475","NY","Brooklyn","D",23,0.35
"476","NY","Buffalo","A",7,0.21
"477","NY","Buffalo","B",13,0.39
"478","NY","Buffalo","C",8,0.24
"479","NY","Buffalo","D",5,0.15
"480","NY","Elmira","A",1,0.04
"481","NY","Elmira","B",5,0.21
"482","NY","Elmira","C",10,0.42
"483","NY","Elmira","D",8,0.33
"484","NY","Lower Westchester Co.","A",18,0.2
"485","NY","Lower Westchester Co.","B",30,0.33
"486","NY","Lower Westchester Co.","C",28,0.31
"487","NY","Lower Westchester Co.","D",14,0.16
"488","NY","Manhattan","A",8,0.15
"489","NY","Manhattan","B",12,0.23
"490","NY","Manhattan","C",6,0.11
"491","NY","Manhattan","D",27,0.51
"492","NY","Niagara Falls","A",1,0.07
"493","NY","Niagara Falls","B",7,0.5
"494","NY","Niagara Falls","C",4,0.29
"495","NY","Niagara Falls","D",2,0.14
"496","NY","Poughkeepsie","A",1,0.06
"497","NY","Poughkeepsie","B",4,0.24
"498","NY","Poughkeepsie","C",7,0.41
"499","NY","Poughkeepsie","D",5,0.29
"500","NY","Queens","A",1,0.01
"501","NY","Queens","B",17,0.1
"502","NY","Queens","C",111,0.66
"503","NY","Queens","D",39,0.23
"504","NY","Rochester","A",12,0.2
"505","NY","Rochester","B",16,0.26
"506","NY","Rochester","C",26,0.43
"507","NY","Rochester","D",7,0.11
"508","NY","Schenectady","A",5,0.14
"509","NY","Schenectady","B",5,0.14
"510","NY","Schenectady","C",20,0.54
"511","NY","Schenectady","D",7,0.19
"512","NY","Staten Island","A",4,0.06
"513","NY","Staten Island","B",15,0.23
"514","NY","Staten Island","C",24,0.36
"515","NY","Staten Island","D",23,0.35
"516","NY","Syracuse","A",5,0.1
"517","NY","Syracuse","B",19,0.39
"518","NY","Syracuse","C",19,0.39
"519","NY","Syracuse","D",6,0.12
"520","NY","Troy","A",1,0.03
"521","NY","Troy","B",11,0.31
"522","NY","Troy","C",15,0.42
"523","NY","Troy","D",9,0.25
"524","NY","Utica","A",4,0.16
"525","NY","Utica","B",4,0.16
"526","NY","Utica","C",11,0.44
"527","NY","Utica","D",6,0.24
"528","OH","Akron","A",11,0.16
"529","OH","Akron","B",19,0.28
"530","OH","Akron","C",24,0.36
"531","OH","Akron","D",13,0.19
"532","OH","Canton","A",2,0.07
"533","OH","Canton","B",9,0.32
"534","OH","Canton","C",10,0.36
"535","OH","Canton","D",7,0.25
"536","OH","Cleveland","A",31,0.16
"537","OH","Cleveland","B",55,0.29
"538","OH","Cleveland","C",76,0.4
"539","OH","Cleveland","D",28,0.15
"540","OH","Columbus","A",8,0.09
"541","OH","Columbus","B",32,0.35
"542","OH","Columbus","C",36,0.4
"543","OH","Columbus","D",15,0.16
"544","OH","Dayton","A",7,0.15
"545","OH","Dayton","B",11,0.23
"546","OH","Dayton","C",15,0.32
"547","OH","Dayton","D",14,0.3
"548","OH","Hamilton","A",2,0.09
"549","OH","Hamilton","B",4,0.17
"550","OH","Hamilton","C",12,0.52
"551","OH","Hamilton","D",5,0.22
"552","OH","Lima","A",1,0.04
"553","OH","Lima","B",7,0.26
"554","OH","Lima","C",13,0.48
"555","OH","Lima","D",6,0.22
"556","OH","Lorain","B",3,0.17
"557","OH","Lorain","C",9,0.5
"558","OH","Lorain","D",6,0.33
"559","OH","Portsmouth","A",3,0.14
"560","OH","Portsmouth","B",3,0.14
"561","OH","Portsmouth","C",8,0.38
"562","OH","Portsmouth","D",7,0.33
"563","OH","Springfield","A",7,0.19
"564","OH","Springfield","B",9,0.24
"565","OH","Springfield","C",13,0.35
"566","OH","Springfield","D",8,0.22
"567","OH","Toledo","A",12,0.15
"568","OH","Toledo","B",22,0.28
"569","OH","Toledo","C",35,0.45
"570","OH","Toledo","D",9,0.12
"571","OH","Warren","A",1,0.05
"572","OH","Warren","B",7,0.35
"573","OH","Warren","C",8,0.4
"574","OH","Warren","D",4,0.2
"575","OH","Youngstown","A",5,0.12
"576","OH","Youngstown","B",10,0.24
"577","OH","Youngstown","C",18,0.43
"578","OH","Youngstown","D",9,0.21
"579","OK","Oklahoma City","A",13,0.14
"580","OK","Oklahoma City","B",12,0.13
"581","OK","Oklahoma City","C",32,0.36
"582","OK","Oklahoma City","D",33,0.37
"583","OK","Tulsa","A",7,0.33
"584","OK","Tulsa","B",4,0.19
"585","OK","Tulsa","C",6,0.29
"586","OK","Tulsa","D",4,0.19
"587","OR","Portland","A",16,0.17
"588","OR","Portland","B",30,0.33
"589","OR","Portland","C",37,0.4
"590","OR","Portland","D",9,0.1
"591","PA","Altoona","A",2,0.07
"592","PA","Altoona","B",13,0.43
"593","PA","Altoona","C",10,0.33
"594","PA","Altoona","D",5,0.17
"595","PA","Bethlehem","A",2,0.09
"596","PA","Bethlehem","B",6,0.26
"597","PA","Bethlehem","C",8,0.35
"598","PA","Bethlehem","D",7,0.3
"599","PA","Chester","A",6,0.29
"600","PA","Chester","B",6,0.29
"601","PA","Chester","C",6,0.29
"602","PA","Chester","D",3,0.14
"603","PA","Erie","A",4,0.09
"604","PA","Erie","B",17,0.36
"605","PA","Erie","C",19,0.4
"606","PA","Erie","D",7,0.15
"607","PA","Harrisburg","A",4,0.08
"608","PA","Harrisburg","B",15,0.31
"609","PA","Harrisburg","C",9,0.19
"610","PA","Harrisburg","D",20,0.42
"611","PA","Johnstown","B",6,0.17
"612","PA","Johnstown","C",15,0.43
"613","PA","Johnstown","D",14,0.4
"614","PA","Lancaster","A",10,0.3
"615","PA","Lancaster","B",20,0.61
"616","PA","Lancaster","C",1,0.03
"617","PA","Lancaster","D",2,0.06
"618","PA","New Castle","A",3,0.12
"619","PA","New Castle","B",6,0.23
"620","PA","New Castle","C",8,0.31
"621","PA","New Castle","D",9,0.35
"622","PA","Philadelphia","A",10,0.12
"623","PA","Philadelphia","B",28,0.34
"624","PA","Philadelphia","C",18,0.22
"625","PA","Philadelphia","D",26,0.32
"626","PA","Pittsburgh","A",11,0.1
"627","PA","Pittsburgh","B",27,0.24
"628","PA","Pittsburgh","C",42,0.37
"629","PA","Pittsburgh","D",34,0.3
"630","PA","Wilkes-Barre","A",7,0.32
"631","PA","Wilkes-Barre","B",7,0.32
"632","PA","Wilkes-Barre","D",8,0.36
"633","PA","York","A",4,0.15
"634","PA","York","B",7,0.26
"635","PA","York","C",9,0.33
"636","PA","York","D",7,0.26
"637","RI","Pawtucket & Central Falls","A",4,0.24
"638","RI","Pawtucket & Central Falls","B",6,0.35
"639","RI","Pawtucket & Central Falls","C",5,0.29
"640","RI","Pawtucket & Central Falls","D",2,0.12
"641","RI","Providence","A",3,0.12
"642","RI","Providence","B",9,0.36
"643","RI","Providence","C",11,0.44
"644","RI","Providence","D",2,0.08
"645","RI","Woonsocket","A",1,0.12
"646","RI","Woonsocket","B",2,0.25
"647","RI","Woonsocket","C",1,0.12
"648","RI","Woonsocket","D",4,0.5
"649","SC","Columbia","A",7,0.21
"650","SC","Columbia","B",9,0.27
"651","SC","Columbia","C",10,0.3
"652","SC","Columbia","D",7,0.21
"653","TN","Chattanooga","A",4,0.13
"654","TN","Chattanooga","B",8,0.26
"655","TN","Chattanooga","C",11,0.35
"656","TN","Chattanooga","D",8,0.26
"657","TN","Knoxville","A",4,0.09
"658","TN","Knoxville","B",12,0.27
"659","TN","Knoxville","C",16,0.36
"660","TN","Knoxville","D",12,0.27
"661","TN","Memphis","A",7,0.27
"662","TN","Memphis","B",8,0.31
"663","TN","Memphis","C",8,0.31
"664","TN","Memphis","D",3,0.12
"665","TN","Nashville","A",1,0.11
"666","TN","Nashville","B",2,0.22
"667","TN","Nashville","C",3,0.33
"668","TN","Nashville","D",3,0.33
"669","TX","Amarillo","A",3,0.15
"670","TX","Amarillo","B",2,0.1
"671","TX","Amarillo","C",6,0.3
"672","TX","Amarillo","D",9,0.45
"673","TX","Austin","A",3,0.17
"674","TX","Austin","B",7,0.39
"675","TX","Austin","C",1,0.06
"676","TX","Austin","D",7,0.39
"677","TX","Beaumont","A",3,0.14
"678","TX","Beaumont","B",7,0.32
"679","TX","Beaumont","C",4,0.18
"680","TX","Beaumont","D",6,0.27
"681","TX","Beaumont",NA,2,0.09
"682","TX","Dallas","A",10,0.22
"683","TX","Dallas","B",15,0.33
"684","TX","Dallas","C",12,0.26
"685","TX","Dallas","D",9,0.2
"686","TX","El Paso","A",4,0.17
"687","TX","El Paso","B",6,0.26
"688","TX","El Paso","C",6,0.26
"689","TX","El Paso","D",7,0.3
"690","TX","Fort Worth","A",8,0.15
"691","TX","Fort Worth","B",9,0.17
"692","TX","Fort Worth","C",16,0.31
"693","TX","Fort Worth","D",18,0.35
"694","TX","Fort Worth",NA,1,0.02
"695","TX","Galveston","A",1,0.25
"696","TX","Galveston","B",1,0.25
"697","TX","Galveston","C",1,0.25
"698","TX","Galveston","D",1,0.25
"699","TX","Houston","A",4,0.1
"700","TX","Houston","B",11,0.28
"701","TX","Houston","C",15,0.38
"702","TX","Houston","D",10,0.25
"703","TX","Port Arthur","A",1,0.14
