"","state","holc_grade","count_tracts","perc_tracts"
"1","AL","A",12,0.11
"2","AL","B",33,0.29
"3","AL","C",35,0.31
"4","AL","D",34,0.3
"5","AR","A",5,0.14
"6","AR","B",12,0.34
"7","AR","C",10,0.29
"8","AR","D",8,0.23
"9","AZ","A",5,0.2
"10","AZ","B",8,0.32
"11","AZ","C",4,0.16
"12","AZ","D",8,0.32
"13","CA","A",109,0.13
"14","CA","B",273,0.31
"15","CA","C",331,0.38
"16","CA","D",155,0.18
"17","CO","A",12,0.14
"18","CO","B",19,0.22
"19","CO","C",29,0.34
"20","CO","D",26,0.3
"21","CT","A",27,0.22
"22","CT","B",35,0.28
"23","CT","C",45,0.36
"24","CT","D",18,0.14
"25","FL","A",26,0.16
"26","FL","B",43,0.27
"27","FL","C",55,0.35
"28","FL","D",34,0.22
"29","GA","A",19,0.08
"30","GA","B",58,0.25
"31","GA","C",79,0.34
"32","GA","D",73,0.32
"33","GA","E",2,0.01
"34","IA","A",16,0.13
"35","IA","B",31,0.26
"36","IA","C",43,0.36
"37","IA","D",30,0.25
"38","IL","A",63,0.08
"39","IL","B",181,0.23
"40","IL","C",344,0.43
"41","IL","D",203,0.26
"42","IN","A",28,0.09
"43","IN","B",68,0.23
"44","IN","C",116,0.39
"45","IN","D",84,0.28
"46","KS","A",17,0.22
"47","KS","B",13,0.16
"48","KS","C",16,0.2
"49","KS","D",33,0.42
"50","KY","A",19,0.15
"51","KY","B",39,0.3
"52","KY","C",46,0.35
"53","KY","D",27,0.21
"54","LA","A",12,0.07
"55","LA","B",27,0.17
"56","LA","C",62,0.39
"57","LA","D",59,0.37
"58","MA","A",34,0.11
"59","MA","B",110,0.35
"60","MA","C",121,0.38
"61","MA","D",52,0.16
"62","MD","A",6,0.1
"63","MD","B",22,0.37
"64","MD","C",22,0.37
"65","MD","D",9,0.15
"66","MI","A",41,0.07
"67","MI","B",109,0.2
"68","MI","C",258,0.47
"69","MI","D",146,0.26
"70","MN","A",25,0.17
"71","MN","B",42,0.29
"72","MN","C",42,0.29
"73","MN","D",33,0.23
"74","MN","E",1,0.01
"75","MO","A",46,0.15
"76","MO","B",73,0.24
"77","MO","C",104,0.34
"78","MO","D",79,0.26
"79","MS","A",4,0.16
"80","MS","B",7,0.28
"81","MS","C",8,0.32
"82","MS","D",6,0.24
"83","NC","A",15,0.12
"84","NC","B",34,0.28
"85","NC","C",44,0.36
"86","NC","D",30,0.24
"87","NE","A",3,0.1
"88","NE","B",12,0.39
"89","NE","C",11,0.35
"90","NE","D",5,0.16
"91","NH","A",1,0.04
"92","NH","B",3,0.12
"93","NH","C",11,0.42
"94","NH","D",11,0.42
"95","NJ","A",67,0.11
"96","NJ","B",175,0.29
"97","NJ","C",240,0.4
"98","NJ","D",114,0.19
"99","NY","A",81,0.1
"100","NY","B",204,0.24
"101","NY","C",356,0.42
"102","NY","D",197,0.23
"103","NY","E",1,0
"104","OH","A",90,0.13
"105","OH","B",191,0.28
"106","OH","C",277,0.4
"107","OH","D",131,0.19
"108","OK","A",20,0.18
"109","OK","B",16,0.14
"110","OK","C",38,0.34
"111","OK","D",37,0.33
"112","OR","A",16,0.17
"113","OR","B",30,0.33
"114","OR","C",37,0.4
"115","OR","D",9,0.1
"116","PA","A",63,0.12
"117","PA","B",158,0.31
"118","PA","C",145,0.29
"119","PA","D",142,0.28
"120","RI","A",8,0.16
"121","RI","B",17,0.34
"122","RI","C",17,0.34
"123","RI","D",8,0.16
"124","SC","A",7,0.21
"125","SC","B",9,0.27
"126","SC","C",10,0.3
"127","SC","D",7,0.21
"128","TN","A",16,0.15
"129","TN","B",30,0.27
"130","TN","C",38,0.35
"131","TN","D",26,0.24
"132","TX","A",43,0.16
"133","TX","B",74,0.27
"134","TX","C",79,0.29
"135","TX","D",78,0.28
"136","TX",NA,3,0.01
"137","UT","A",7,0.13
"138","UT","B",13,0.25
"139","UT","C",14,0.27
"140","UT","D",18,0.35
"141","VA","A",20,0.09
"142","VA","B",41,0.18
"143","VA","C",94,0.42
"144","VA","D",69,0.31
"145","WA","A",24,0.15
"146","WA","B",42,0.26
"147","WA","C",64,0.4
"148","WA","D",30,0.19
"149","WI","A",17,0.07
"150","WI","B",55,0.24
"151","WI","C",97,0.42
"152","WI","D",64,0.27
"153","WV","A",16,0.15
"154","WV","B",25,0.24
"155","WV","C",39,0.37
"156","WV","D",25,0.24
