name,state,type,confirmed,sign,ordinance,showcase,id,Status
Nesquehoning,PA,"1","2","0","0","0","1088",Possible
Lansford,PA,"1","2","0","0","0","1087",Possible
Nazareth,PA,"1","2","3","3","0","1086",Possible
Mounds city,IL,"0","0","0","0","0","1085",Do not Know
Balcom,IL,"1","0","0","0","0","1084",Do not Know
Berryville,IL,"0","0","0","0","0","1083",Do not Know
Wolflake,IL,"3","3","3","0","0","1082",Probable
Union County,IL,"0","0","0","0","0","1081",Do not Know
Cobden,IL,"1","8","4","4","0","1080",Unlikely / Always Biracial
Thebes,IL,"1","2","0","0","0","1079",Possible
Tamms,IL,"1","1","0","0","0","1078",Unlikely
Cairo,IL,"1","1","0","0","0","1077",Unlikely
Brookfield,IL,"2","2","0","0","0","1076",Possible
Carthage,IL,"1","3","0","2","0","1075",Probable
Stronghurst,IL,"1","3","0","0","0","1074",Probable
Warsaw,IL,"1","3","0","2","0","1073",Probable
Chicago,IL,"1","1","0","0","0","1072",Unlikely
McHenry County,IL,"4","2","4","4","0","1071",Possible
Kane County,IL,"4","2","0","0","0","1070",Possible
Cicero,IL,"1","4","0","0","1","1069",Surely
Berwyn,IL,"1","4","0","0","0","1068",Surely
Dwight,IL,"1","3","0","3","0","1067",Probable
Mazon,IL,"1","4","0","1","0","1066",Surely
Morris,IL,"1","3","0","0","0","1065",Probable
Peotone,IL,"1","3","0","0","0","1064",Probable
Manteno,IL,"1","3","3","0","0","1063",Probable
Beecher,IL,"2","3","0","0","0","1062",Probable
Bradley,IL,"1","1","0","0","0","1061",Unlikely
Herscher,IL,"1","3","0","0","0","1060",Probable
Crete,IL,"1","3","0","0","0","1059",Probable
Braidwood,IL,"1","3","0","0","0","1058",Probable
Crystal Lake,IL,"1","2","0","0","0","1057",Possible
Cary,IL,"2","3","0","0","0","1056",Probable
Potomac,IL,"1","2","0","3","0","1055",Possible
Philo,IL,"1","3","0","3","0","1054",Probable
Catlin,IL,"1","3","3","3","0","1053",Probable
Westville,IL,"1","3","3","3","0","1052",Probable
Newman,IL,"1","3","2","2","0","1051",Probable
Ridge Farm,IL,"1","3","3","3","0","1050",Probable
Sidney,IL,"1","2","3","3","0","1049",Possible
Arthur,IL,"1","2","3","3","0","1048",Possible
Blue Mound,IL,"1","3","2","2","0","1047",Probable
Buckley,IL,"1","3","3","3","0","1046",Probable
Oreana,IL,"1","2","3","3","0","1045",Possible
DeLand,IL,"1","3","3","2","0","1044",Probable
El Paso,IL,"1","2","3","3","0","1043",Possible
Paxton,IL,"1","3","2","2","0","1042",Probable
St. Joseph,IL,"1","3","2","2","0","1041",Probable
Mt. Zion,IL,"1","3","3","3","0","1040",Probable
Towanda,IL,"1","3","3","3","0","1039",Probable
Farmer City,IL,"1","4","3","3","0","1038",Surely
Fisher,IL,"1","2","3","3","0","1037",Possible
Monticello,IL,"1","4","2","2","0","1036",Surely
Saybrook,IL,"1","4","1","1","0","1035",Surely
Maroa,IL,"1","4","2","2","0","1034",Surely
Niantic,IL,"1","3","2","2","0","1033",Probable
Le Roy,IL,"1","2","3","3","0","1032",Possible
Warrensburg,IL,"1","3","0","0","0","1031",Probable
Kenney,IL,"1","2","3","3","0","1030",Possible
Schaumburg,IL,"2","3","2","2","0","1029",Probable
Niles,IL,"2","2","3","3","0","1028",Possible
Elk Grove Village,IL,"2","3","2","2","0","1027",Probable
Glen Carbon,IL,"2","4","2","1","0","1026",Surely
Elsah,IL,"3","4","3","3","0","1025",Surely
Granite City,IL,"2","4","0","1","0","1024",Surely
Madison,IL,"2","2","3","3","0","1023",Possible
Brooklyn,IL,"2","9","0","0","0","1022",Black Town or Township
East Alton,IL,"2","4","2","1","0","1021",Surely
Calhoun,IL,"0","0","0","0","0","1020",Do not Know
Calhoun County,IL,"4","4","0","0","0","1019",Surely
Columbia,IL,"2","3","2","2","0","1018",Probable
Wood River,IL,"2","2","2","2","0","1017",Possible
San Jose,IL,"1","4","2","2","0","1016",Surely
Brown County,IL,"4","4","2","2","0","1015",Surely
New Boston,IL,"1","3","2","2","0","1014",Probable
Cuba,IL,"1","3","2","2","0","1013",Probable
Havana,IL,"1","4","2","2","0","1012",Surely
Lewistown,IL,"1","3","2","2","0","1011",Probable
Henry,IL,"1","3","2","2","0","1010",Probable
Lacon,IL,"3","3","2","2","0","1009",Probable
Toluca,IL,"1","3","2","2","0","1008",Probable
Minonk,IL,"1","3","3","3","0","1007",Probable
Beardstown,IL,"1","4","1","2","0","1006",Surely
Arenzville,IL,"1","3","3","3","0","1005",Probable
Highland Park,IL,"1","2","3","3","0","1004",Possible
Mundelein,IL,"1","3","3","3","0","1003",Probable
Libertyville,IL,"1","3","3","3","0","1002",Probable
Onarga,IL,"1","3","3","3","0","1001",Probable
Pembroke,IL,"1","9","0","0","0","1000",Black Town or Township
Earlville,IL,"1","3","2","2","0","999",Probable
Bureau,IL,"1","3","2","2","0","998",Probable
LaSalle Peru,IL,"1","3","2","2","0","997",Probable
Sandwich,IL,"1","3","3","3","0","996",Probable
Riverside,IL,"1","3","3","3","0","995",Probable
Lyons,IL,"1","3","2","2","0","994",Probable
Des Plaines,IL,"1","3","3","3","0","993",Probable
Mahomet,IL,"1","3","3","3","0","992",Probable
Bethany,IL,"1","3","3","3","0","991",Probable
Lovington,IL,"1","3","2","2","0","990",Probable
Windsor,IL,"1","3","2","2","0","989",Probable
Effingham,IL,"1","4","2","2","1","988",Surely
Neoga,IL,"1","4","2","2","0","987",Surely
Shelbyville,IL,"1","3","2","2","0","986",Probable
Sullivan,IL,"1","3","2","2","0","985",Probable
Oakland,IL,"1","3","2","2","0","984",Probable
Morrison,IL,"1","2","2","2","0","983",Possible
Romeoville,IL,"1","4","3","3","0","982",Surely
Naperville,IL,"2","4","3","3","0","981",Surely
Wilmette,IL,"2","3","3","3","0","980",Probable
Winthrop Harbor,IL,"2","4","3","3","0","979",Surely
Barrington,IL,"1","4","2","2","0","978",Surely
Deerfield,IL,"2","4","2","2","0","977",Surely
Kenilworth,IL,"2","3","2","2","1","976",Probable
Roseville,IL,"1","3","3","3","0","975",Probable
Fulton,IL,"1","2","3","3","0","974",Possible
Oak Lawn,IL,"2","3","3","3","0","973",Probable
Oak Park,IL,"2","3","2","2","0","972",Probable
Elmwood Park,IL,"0","0","0","0","0","971",Do not Know
Magnet Cove,AR,"1","3","0","0","0","970",Probable
Bordentown,NJ,"1","3","0","0","0","969",Probable
Mt. Sterling,IL,"1","4","2","2","0","968",Surely
Cedarburg,WI,"1","2","0","0","0","967",Possible
Western Springs,IL,"1","4","0","0","0","966",Surely
Colchester,IL,"1","2","3","0","0","965",Possible
Chehalis,WA,"1","3","0","0","0","964",Probable
Villa Grove,IL,"1","4","0","0","0","963",Surely
Spring Lake,NJ,"1","2","0","0","0","962",Possible
St. Cloud,FL,"0","2","3","0","0","961",Possible
Desha,AR,"0","2","0","0","0","960",Possible
Osage City,KS,"1","3","0","0","0","959",Probable
Evergreen Park,IL,"2","0","0","0","0","958",Do not Know
Lebanon,OH,"1","8","0","0","0","957",Unlikely / Always Biracial
Pompeii,KY,"0","0","0","0","0","956",Do not Know
Pendleton,IN,"1","3","0","0","0","955",Probable
Westfield,IN,"1","3","0","3","0","954",Probable
Westfield,IL,"1","4","0","0","0","953",Surely
Elfers,FL,"0","0","0","0","0","952",Do not Know
Wynot,NE,"0","0","0","0","0","951",Do not Know
Haysville,KS,"0","3","0","0","0","950",Probable
Denton,KS,"0","3","0","0","0","949",Probable
Glendive,MT,"1","3","3","0","0","948",Probable
Galena,MO,"0","3","0","0","0","947",Probable
Russell,KS,"1","3","0","0","0","946",Probable
Worden,IL,"1","2","0","0","0","945",Possible
Mt. Ida,AR,"1","3","0","0","0","944",Probable
Laramie,WY,"1","3","0","0","0","943",Probable
Green River,WY,"1","3","0","1","0","942",Probable
Tolono,IL,"1","3","0","0","0","941",Probable
Pinckneyville,IL,"1","3","0","0","0","940",Probable
Chincoteague,VA,"1","2","0","0","0","939",Possible
Sellersburg,IN,"1","3","0","0","0","938",Probable
Henryville,IN,"3","2","0","0","0","937",Possible
Clarksville,IN,"1","2","0","0","0","936",Possible
Roundup,MT,"1","2","1","0","0","935",Possible
Baxter County,AR,"4","3","0","0","0","934",Probable
Bedford,IN,"1","2","2","0","0","933",Possible
Moosup,Ct,"1","3","0","0","0","932",Probable
Sterling,Ct,"0","3","0","0","0","931",Probable
Slinger,WI,"1","3","0","0","0","930",Probable
Malvern,IA,"1","3","1","0","0","929",Probable
White City,KS,"1","0","1","0","1","928",Do not Know
Plainfield,IL,"1","3","0","0","0","927",Probable
New Holland,PA,"1","3","0","0","0","926",Probable
Holt,MO,"0","3","1","0","0","925",Probable
