city,state,x,y,population,A,B,C,D,E,NA
Staten Island,NY,-74.102427,40.607746,475596,0.06,0.23,0.36,0.35,,
Syracuse,NY,-76.115003,43.04337,142553,0.1,0.39,0.39,0.12,,
Troy,NY,-73.67055,42.734483,49253,0.03,0.31,0.42,0.25,,
Utica,NY,-75.242821,43.069771,59984,0.16,0.16,0.44,0.24,,
Akron,OH,-81.551149,41.107229,197375,0.16,0.28,0.36,0.19,,
Canton,OH,-81.381967,40.819225,70863,0.07,0.32,0.36,0.25,,
Cleveland,OH,-81.658601,41.477051,383331,0.16,0.29,0.4,0.15,,
Columbus,OH,-82.995149,39.98776,889079,0.09,0.35,0.4,0.16,,
Dayton,OH,-84.189614,39.71597,140444,0.15,0.23,0.32,0.3,,
Hamilton,OH,-84.579453,39.404643,62162,0.09,0.17,0.52,0.22,,
Lima,OH,-84.143278,40.739399,36908,0.04,0.26,0.48,0.22,,
Lorain,OH,-82.174418,41.462946,63832,,0.17,0.5,0.33,,
Portsmouth,OH,-82.977598,38.753961,20094,0.14,0.14,0.38,0.33,,
Springfield,OH,-83.810554,39.936973,58957,0.19,0.24,0.35,0.22,,
Toledo,OH,-83.618394,41.648782,275116,0.15,0.28,0.45,0.12,,
Warren,OH,-80.784353,41.240296,38986,0.05,0.35,0.4,0.2,,
Youngstown,OH,-80.662871,41.071755,64152,0.12,0.24,0.43,0.21,,
Oklahoma City,OK,-97.531735,35.504658,649821,0.14,0.13,0.36,0.37,,
Tulsa,OK,-95.960023,36.133486,402441,0.33,0.19,0.29,0.19,,
Portland,OR,-122.66777,45.479703,650380,0.17,0.33,0.4,0.1,,
Altoona,PA,-78.40651,40.491751,43669,0.07,0.43,0.33,0.17,,
Bethlehem,PA,-75.403899,40.628597,75571,0.09,0.26,0.35,0.3,,
Chester,PA,-75.367365,39.866947,33855,0.29,0.29,0.29,0.14,,
Erie,PA,-80.104268,42.107245,96616,0.09,0.36,0.4,0.15,,
Harrisburg,PA,-76.894048,40.26149,49247,0.08,0.31,0.19,0.42,,
Johnstown,PA,-78.926055,40.307082,19381,,0.17,0.43,0.4,,
Lancaster,PA,-76.320356,40.0488,59321,0.3,0.61,0.03,0.06,,
New Castle,PA,-80.344078,41.017759,21805,0.12,0.23,0.31,0.35,,
Philadelphia,PA,-75.181063,40.055218,1581531,0.12,0.34,0.22,0.32,,
Pittsburgh,PA,-79.9975,40.422379,301286,0.1,0.24,0.37,0.3,,
Wilkes-Barre,PA,-75.890999,41.252717,40805,0.32,0.32,,0.36,,
York,PA,-76.720419,39.946478,44019,0.15,0.26,0.33,0.26,,
Pawtucket & Central Falls,RI,-71.392726,41.872685,19437,0.24,0.35,0.29,0.12,,
Providence,RI,-71.406348,41.808922,179472,0.12,0.36,0.44,0.08,,
Woonsocket,RI,-71.521039,42.011302,41616,0.12,0.25,0.12,0.5,,
Columbia,SC,-80.996819,33.998877,134057,0.21,0.27,0.3,0.21,,
Chattanooga,TN,-85.288708,35.047111,181370,0.13,0.26,0.35,0.26,,
Knoxville,TN,-83.947046,35.954913,187487,0.09,0.27,0.36,0.27,,
Memphis,TN,-89.969999,35.132892,650910,0.27,0.31,0.31,0.12,,
Nashville,TN,-86.821152,36.103906,29325,0.11,0.22,0.33,0.33,,
Amarillo,TX,-101.857016,35.191101,199225,0.15,0.1,0.3,0.45,,
Austin,TX,-97.760269,30.303937,965872,0.17,0.39,0.06,0.39,,
Beaumont,TX,-94.109028,30.07113,117321,0.14,0.32,0.18,0.27,,0.09
Dallas,TX,-96.787419,32.833087,1338846,0.22,0.33,0.26,0.2,,
El Paso,TX,-106.472878,31.787172,679879,0.17,0.26,0.26,0.3,,
Fort Worth,TX,-97.375703,32.728533,892221,0.15,0.17,0.31,0.35,,0.02
Galveston,TX,-94.807799,29.286983,50307,0.25,0.25,0.25,0.25,,
Houston,TX,-95.383303,29.727684,2313238,0.1,0.28,0.38,0.25,,
Port Arthur,TX,-93.931825,29.886518,54705,0.14,0.29,0.14,0.43,,
San Antonio,TX,-98.526914,29.466022,1529133,0.1,0.4,0.35,0.15,,
Waco,TX,-97.160175,31.544546,137779,0.16,0.24,0.4,0.2,,
Ogden,UT,-111.939692,41.21207,87175,0.13,0.26,0.22,0.39,,
Salt Lake City,UT,-111.842831,40.74466,200133,0.14,0.24,0.31,0.31,,
Lynchburg,VA,-79.187974,37.414034,80970,0.12,0.09,0.47,0.31,,
Newport News,VA,-76.435323,36.999426,179582,,0.12,0.38,0.5,,
Norfolk,VA,-76.359382,36.946277,244300,0.05,0.17,0.47,0.31,,
Richmond,VA,-77.493654,37.562137,229233,0.15,0.31,0.29,0.25,,
Roanoke,VA,-79.956478,37.239385,99122,0.12,0.16,0.44,0.28,,
Seattle,WA,-122.318605,47.625704,741251,0.2,0.32,0.3,0.18,,
Spokane,WA,-117.422168,47.648539,219185,0.15,0.25,0.4,0.21,,
Tacoma,WA,-122.478493,47.273695,215766,0.09,0.21,0.53,0.17,,
Kenosha,WI,-87.815509,42.568477,99767,0.04,0.17,0.43,0.35,,
Madison,WI,-89.420735,43.074359,258366,0.13,0.23,0.38,0.26,,
Milwaukee Co.,WI,-87.934908,43.100099,592649,0.09,0.26,0.44,0.21,,
Oshkosh,WI,-88.520253,44.024403,66753,,0.17,0.33,0.5,,
Racine,WI,-87.780827,42.760142,76893,0.03,0.26,0.43,0.29,,
Charleston,WV,-81.63089,38.344094,47273,0.12,0.26,0.33,0.3,,
Huntington,WV,-82.43177,38.408803,13526,0.21,0.26,0.42,0.11,,
Wheeling,WV,-80.682273,40.07151,27046,0.12,0.17,0.38,0.33,,
