place_type,full_name,type,confirmed,sign,ordinance,showcase,orig_long,orig_lat,name,state,id,relocated_while_cleaning,x,y
uncertain_area_not_in_census,"Lamb, IL",1,4,0,0,0,-88.031728,42.04803,Lamb,IL,840,true,-88.1244803,37.5309482
uncertain_area_not_in_census,"Ellenton, SC",1,2,0,0,0,-80.0092868,32.9933599,Ellenton,SC,2415,true,-81.7346302,33.2189078
uncertain_area_not_in_census,"Dixie, AL",1,2,0,0,0,-86.7194,31.1446,Dixie,AL,1574,false,-86.7204961,31.1453716
uncertain_area_not_in_census,"Hillcrest, AR",2,3,0,0,0,-92.3166,34.7629,Hillcrest,AR,1757,false,-92.3222857,34.7571539
county,"Del Norte, CA",1,3,0,0,0,-116.953209,32.821146,Del Norte,CA,923,true,-123.8969724,41.7430734
uncertain_area_not_in_census,"Bel Air, CA",1,3,0,0,0,-118.448,34.0827,Bel Air,CA,1455,false,-118.4615727,34.0993176
uncertain_area_not_in_census,"Tarzana, CA",1,4,0,0,0,0,0,Tarzana,CA,1488,true,-118.5501106,34.1568973
locality,"Newport Beach, CA",1,4,0,0,0,-117.9294,33.617,Newport Beach,CA,1484,false,-117.8652448,33.6153113
uncertain_area_not_in_census,"Gold Run, CA",1,4,0,0,0,-120.85,39.18,Gold Run,CA,1529,false,-120.8470069,39.1759923
uncertain_area_not_in_census,"La Jolla, CA",2,4,0,0,0,-117.2742,32.8473,La Jolla,CA,1452,false,-117.2476642,32.8653543
uncertain_area_not_in_census,"Bayshore City, CA",1,2,0,0,0,-118.130529,33.757748,Bayshore City,CA,1505,true,-122.4185171,37.7043461
uncertain_area_not_in_census,"North Palo Alto, CA",1,3,0,0,0,-120.65085180504,41.4135433,North Palo Alto,CA,1497,true,-122.142485,37.4515324
uncertain_area_not_in_census,"Holy City, CA",1,4,0,0,0,-121.97778,37.156941,Holy City,CA,1515,false,-121.9777239,37.1564395
uncertain_area_not_in_census,"Sawyers Bar, CA",1,4,0,0,0,-123.1303,41.2974,Sawyers Bar,CA,1522,false,-123.1298664,41.2960084
locality,"Cherry Hills Village, CO",2,2,0,0,0,-104.9389,39.6266,Cherry Hills Village,CO,550,false,-104.9480543,39.6375539
uncertain_area_not_in_census,"Unionville, CT",5,2,0,0,0,-72.8862,41.7579,Unionville,CT,1239,false,-72.8913608,41.761357
locality,"Thomaston, CT",1,2,0,0,0,-73.0732,41.674,Thomaston,CT,1241,false,-73.0799465,41.6738882
locality,"New Hartford, CT",3,2,0,0,0,-72.977,41.8823,New Hartford,CT,1247,false,-72.9752951,41.8802424
locality,"Westbrook, CT",1,2,0,0,0,-72.4476,41.2854,Westbrook,CT,1238,false,-72.4421085,41.2811914
locality,"Madison, CT",1,3,0,3,0,-72.5983,41.2794,Madison,CT,1358,false,-72.6003415,41.2795429
locality,"Stafford, CT",1,2,0,0,0,-72.289439,41.984709,Stafford,CT,668,true,-72.3105027,41.9595329
locality,"Coventry, CT",3,2,0,0,0,-72.3051,41.7701,Coventry,CT,1254,false,-72.3204638,41.7731406
locality,"Cedar Key, FL",1,4,0,0,1,-83.036,29.1377,Cedar Key,FL,1440,false,-83.0408481,29.1451166
locality,"Longboat Key, FL",1,2,0,0,0,-82.6418,27.3909,Longboat Key,FL,1445,false,-82.6354403,27.3852301
locality,"Miami Beach, FL",1,3,0,0,1,-80.1331755567319,25.792496107413,Miami Beach,FL,1434,false,-80.133639,25.8165158
uncertain_area_not_in_census,"Elco, IL",1,4,0,0,0,-89.2659,37.3006,Elco,IL,2049,false,-89.2810644,37.2734233
uncertain_area_not_in_census,"Posey, IL",1,4,0,0,0,-89.3526,38.537,Posey,IL,814,false,-89.3524157,38.5367463
uncertain_area_not_in_census,"Hazel Dell, IL",1,4,0,3,0,-89.6163556,39.7450097,Hazel Dell,IL,846,true,-88.0419837,39.2021468
uncertain_area_not_in_census,"Medinah, IL",2,2,0,0,0,-88.0512,41.9814,Medinah,IL,718,false,-88.0479451,41.9685903
uncertain_area_not_in_census,"Keeneyville, IL",2,2,0,0,0,-88.1203,41.9675,Keeneyville,IL,721,false,-88.118537,41.9621599
uncertain_area_not_in_census,"Flowerfield, IL",2,2,0,0,0,-88.03,41.86,Flowerfield,IL,728,false,-88.0322918,41.8605123
